,id,user,text,retweet_count,location,latitude,longitude,country
0,889731817036595200,NotinCanada,'RT @SaltyLadytron: Sea level fears as Greenland darkens #climatechange https://t.co/fKFfW4Z4x9',2,'Alberta  Canada',53.9332706,-116.5765035, Canada
1,889731760958746624,ADBClimate,"'RT @ADB_HQ: There are quicker, more powerful ways to alter view on #climatechange https://t.co/hUsgYX1E5s @japantimes @PIK_Climate #AsiaHea\xe2\x80\xa6'",1,'ADB HQ  Manila',14.588424,121.059102, Philippines
2,889731735340015616,traceymangin,'#California Shows How #States Can Lead on \n#ClimateChange https://t.co/WqnfxGMbtt #newjersey #capandtrade',1,'California',36.778261,-119.4179324, USA
3,889731668843651072,TrumpvsScience,'RT @BlackAdam32: #climatechange  #environment \nhttps://t.co/iCBRSmtNv6 via @Futurism',1,'',,,
4,889731661184630786,leotrina_m,'RT @suliamakasini: Tongan MPs at Seminar on key development issues #SDGs #climatechange #anticorruption @milika @msheimuli @viaatiola @Jone\xe2\x80\xa6',2,'',,,
5,889731641458827264,caroljd1964,'RT @michellemacewan: Life on the Rocks: #ClimateChange and #Antarctic #Biodiversity \nhttps://t.co/qrnQx9d5CF\xe2\x80\xa6\nV @GlacierHub https://t.co/Uj\xe2\x80\xa6',2,'millionmilesaway',,,
6,889731623997939713,UNICKathmandu,"""RT @IOMnepal: #GreeningMigrationGovernance #SDG13 #ClimateChange. What should be Nepal's priority to meet the #SDG13 by 2030. https://t.co/\xe2\x80\xa6""",1,'UN House  kathmandu  Nepal',27.6805867,85.3160451, Nepal
7,889731479856701441,C_Smart_Climate,'RT @PaulEDawson: Here\xe2\x80\x99s What Scientists Know About the Risk of a Massive Global Methane Release. #ClimateChange #Science   https://t.co/qK9\xe2\x80\xa6',66,'Boulder  CO',40.0149856,-105.2705456, USA
8,889731409480261632,IOMnepal,"""#GreeningMigrationGovernance #SDG13 #ClimateChange. What should be Nepal's priority to meet the #SDG13 by 2030.\xe2\x80\xa6 https://t.co/ssKxp0OAjm""",1,'Kathmandu',27.7172453,85.3239605, Nepal
9,889731337908781056,C_Smart_Climate,'RT @climatecouncil: Inaction on #climatechange risks leaving future generations $530 trillion in debt https://t.co/KUCVKFatfA via @Conversa\xe2\x80\xa6',14,'Boulder  CO',40.0149856,-105.2705456, USA
10,889731248347860993,onusbaal2015,'RT @onusbaal2015: Very impressive! Southern Hemisphere cooling so fast. Stop this #globalwarming/#climatechange #hoax @realdonaldtrump #agw\xe2\x80\xa6',9,'Huelva  Andaluc\xc3\xada',37.261421,-6.9447224, Spain
11,889731246892437505,NRGrenaissance,'RT @purpleveganuk: Sea level fears as Greenland darkens #climatechange  https://t.co/mCbIhlpaJ0',1,'Sydney  New South Wales',-33.8688197,151.2092955, Australia
12,889731202667753472,BlackAdam32,'#climatechange  #environment \nhttps://t.co/iCBRSmtNv6 via @Futurism',1,'Fayetteville  North Carolina',35.0526641,-78.87835849999999, USA
13,889731153132912641,EmmaArchervG,"'RT @stefanosfotiou: ""Conserving biodiversity can help mitigate #climatechange"" says @IPBES Executive Secretary at #ISAP @IGES_Climate_EN'",6,'Johannesburg  South Africa',-26.2041028,28.0473051, South Africa
14,889731090960797697,ActOnClimateVic,'RT @climatecouncil: Inaction on #climatechange risks leaving future generations $530 trillion in debt https://t.co/KUCVKFatfA via @Conversa\xe2\x80\xa6',14,'Victoria  Australia',-37.4713077,144.7851531, Australia
15,889731077971070978,technoleren,"""RT @tommyturnbuckle: #climatechange is real - it's accelerating and happening faster than we thought. Going to be a wild ride. https://t.co\xe2\x80\xa6""",4,'Belgi\xc3\xab',50.503887,4.469936,Belgium
16,889731069255266304,lastrituaI,'RT @BAS_News: Great to have @elliegoulding with us today finding out what ice cores tell us about #climatechange #Antarctica https://t.co/V\xe2\x80\xa6',134,'Peru',-9.189967,-75.015152,Peru
17,889730888296214529,JordanGBC,'RT @WorldGBC: .@WorldGBC CEO @terriwills1010: we need billions of buildings to be #NetZero to fight #ClimateChange #OurHeroIsZero https://t\xe2\x80\xa6',13,'Amman  Jordan',31.9453666,35.9283716, Jordan
18,889730887545499648,colonialdude,'The latest The Dimensional Shift Observer! https://t.co/w9cnIFz9au Thanks to @space_porns #ai #climatechange',0,'Oblong  Il.',39.0019867,-87.9089204, USA
19,889730875864133632,TerrySerio,'RT @SasjaBeslik: The 3 crises of our time.\n#climatechange #inequality #neoliberalism https://t.co/KRY3OrRkgm',59,'Sydney',-33.8688197,151.2092955, Australia
20,889730785661534216,TerrySerio,'RT @SasjaBeslik: Report from the Jakobshavn Glacier. Do me a favour and watch. It\xe2\x80\x99s about you too! #Greenland #ClimateChange https://t.co/L\xe2\x80\xa6',1365,'Sydney',-33.8688197,151.2092955, Australia
21,889730713502621696,L_DeWeaver,'RT @johnbevins: Why is the existential peril that so unites our scientists so dividing us?\n\n#climatechange',4,'Lismore  NSW AUSTRALIA',-28.8093154,153.2882876, Australia
22,889730692938174464,EnergieDevlpmt,"'RT @UNFCCC: This week, #Shanghai experienced the highest ever recorded temperature in the city: 40.9\xc2\xb0C. Via @EKMeteo #climatechange https:/\xe2\x80\xa6'",114,'',,,
23,889730679310831616,cellules_vertes,"""aurait-on \xc3\xa9galement sous-estim\xc3\xa9 la force d'inertie qui nous emp\xc3\xaache d'agir efficacement? #climatechange https://t.co/lo63eLoMF6""",0,'Nantes  France',47.218371,-1.553621, France
24,889730631139196928,patrick_garda,'RT @CopernicusECMWF: #Copernicus #ClimateChange Service releases powerful global #climate monitoring #dataset to date 4 public use #ERA5 ht\xe2\x80\xa6',45,'',,,
25,889730413588914177,LauraU2girl,'@TrumpvsScience \n#Eco #Green #ClimateChange \n#GreenRoofs #Science #Plants #Bees #HoneyBees #SOSBees https://t.co/yDvgikwl2K',0,'Canada',56.130366,-106.346771,Canada
26,889730392181403648,joseph_proietta,'RT @RnfrstAlliance: These graphics are illuminating. https://t.co/8bH8CeohlS via @nytclimate #climatechange #climatechangeisreal',14,'Pennsylvania & NJ  USA',40.1012666,-74.85530399999999, USA
27,889730384958824450,offlinehacker,'RT @Dodo_Tribe: #CLIMATECHANGE - causing temperature distributions to shift since the 19th Century. Getting Hotter and Hotter folks. Denial\xe2\x80\xa6',65,'Europe  Slovenia  Ljubljana',46.0569465,14.5057515, Slovenia
28,889730382656143360,Demofarm_Aghub,'@estakahinga 1/2 Nice piece on innovations to solve Africa\xe2\x80\x99s #FoodSecurity. We need solutions to help communities c\xe2\x80\xa6 https://t.co/GkQWvubaGs',0,'Thika  Kenya',-1.0387569,37.0833753, Kenya
29,889730325059960832,smalladultvoice,"'RT @UNICEFwater: The impacts of #climatechange are real. In the next decade, extreme weather events are predicted to impact 175 million chi\xe2\x80\xa6'",86,'',,,
30,889730319535939584,chmayer,'RT @JimHarris: Spontaneous standing ovation at the end of the premiere of the Inconvenient Truth sequel #BeInconvenient #climatechange  #cl\xe2\x80\xa6',28,'O.C.  CA  U.S.A.',33.7174708,-117.8311428, USA
31,889730189319700480,coolfireecology,'RT @LeahSamberg: Global analysis shows migration due to #climatechange may not be an option for most vulnerable pops @UMNIonE @ndgain https\xe2\x80\xa6',5,'Madison  WI',43.0730517,-89.4012302, USA
32,889730146894303233,EssaysConcern,'RT @climatecouncil: Inaction on #climatechange risks leaving future generations $530 trillion in debt https://t.co/KUCVKFatfA via @Conversa\xe2\x80\xa6',14,'',,,
33,889730108503621632,djmer1,'RT @climatecouncil: Inaction on #climatechange risks leaving future generations $530 trillion in debt https://t.co/KUCVKFatfA via @Conversa\xe2\x80\xa6',14,'Melbourne  Australia',-37.8136276,144.9630576, Australia
34,889730041780752384,P00PEH,'RT @BAS_News: Great to have @elliegoulding with us today finding out what ice cores tell us about #climatechange #Antarctica https://t.co/V\xe2\x80\xa6',134,'British Columbia  Canada',53.7266683,-127.6476205, Canada
35,889729973526941696,SurrocaTeresa,"'RT @PaulEDawson: In most disaster-prone region, #climatechange to have devastating effects, ADB report warns. #KeepItInTheGround  https://t\xe2\x80\xa6'",7,'Rivas (Madrid  Espa\xc3\xb1a)',40.3519065,-3.5357334, Spain
36,889729959463444480,WaterResearchSA,"""RT @FAOnews: #Water we 'eat' is much more than what we drink - v @FAOKnowledge  #climatechange https://t.co/Rclih9Pgrb""",76,'Pretoria  South Africa',-25.7478676,28.2292712, South Africa
37,889729946985385985,nijdamjg,'RT @overthelies2010: Excellent video! https://t.co/RacDAw37wr #auspol #qldpol #ausmedia #climatechange #co2 #fossilfuels @EcoSenseNow',9,'Eelderwolde  Tynaarlo',53.1787103,6.542582100000001, Netherlands
38,889729805121314816,kishan_BJP_salt,'RT @M_Lekhi: India shows leadership in harnessing green energy &amp; working towards arresting #climatechange #ClimateAction https://t.co/3RGCP\xe2\x80\xa6',190,'Almora  India',29.5892407,79.646666, India
39,889729743263805440,9A6s4lPbD4hMSCt,'RT @xdiamonddustx: An Inconvenient Sequel: Truth To Power 2017 https://t.co/cO7afyvffY #BeInconvenient #AnInconvenientTruth #climatechange\xe2\x80\xa6',3,'',,,
40,889729691896119296,AldoPozzoli,'Still a lot to learn by the #AR5  #climatechange #future https://t.co/I9Tzfmfnje',0,'',,,
41,889729622715367425,TrumpvsScience,'RT @TransitionWilms: So who still denies climate change? Time to act #BeInconvenient #climatechange #timeforpoliticianstostepup https://t.c\xe2\x80\xa6',1,'',,,
42,889729620181909504,roomeezon,'RT @RexCoyote: ...because it does!!! #BeInconvenient #GlobalWarming #ClimateChange https://t.co/b37MBP1wFW',1,'Earth',37.2321077,-95.7243335, USA
43,889729560887123968,Albatron76,"""RT @PaulEDawson: It's not your imagination: 2017 has been abnormally hot so far. #ActOnClimate #KeepItInTheGround #ClimateChange  https://t\xe2\x80\xa6""",41,'',,,
44,889729505195040768,realspazchic,'RT @PaulHBeckwith: We are destroying the lungs of our planet. Pretty dumb behavior...\nhttps://t.co/0gkjJl1r61\n#climate #climatechange #glob\xe2\x80\xa6',29,'',,,
45,889729391894421504,roomeezon,"'RT @chetandhalla: India diverts Rs 56,700 crore from the fight against #ClimateChange to #GoodsAndServiceTax regime https://t.co/hOsshSqVRg\xe2\x80\xa6'",1,'Earth',37.2321077,-95.7243335, USA
46,889729389897842688,chiraff,'RT @YEARSofLIVING: Elephants face threats from both poaching and #climatechange. WATCH: https://t.co/4lrOQTUyyZ https://t.co/AbmggMH6ug',13,'The funny blog of a dog:',,,
47,889729375188525056,BennyBAP,'RT @HelenaMerwe: .@Alex_Verbeek This mayor is leaving politics to fight #climatechange full-time\n\nhttps://t.co/dSEqdXJ1TB',5,'Emmeloord  Netherlands',52.7120831,5.755031799999999, Netherlands
48,889729281907150848,jk71380,'RT @sangpran: #Floods in #Rajasthan #Jalore #Sirohi #Pali 800mm rain #MtAbu \n@NDRFHQ @adgpi @IAF_MCC 4 relief &amp; rescue  \n#climatechange #De\xe2\x80\xa6',2,'jk71380@gmail.com',,,
49,889729259551334401,JoelDTD,"""RT @Amarial1: Australia's kindly supplying #Coal to India: help them die faster &amp; increase #ClimateChange because WE need Economic growth?\xe2\x80\xa6""",5,'Sunshine Coast',-26.65,153.066667, Australia
50,889729259434119168,marcoaurelio_88,'RT @ClimateNow: Sea level warning as Greenland darkens @BBCNews https://t.co/zXl9WNbyrE #ClimateChange #Greenland',4,'',,,
51,889729242887577600,purpleveganuk,'Sea level fears as Greenland darkens #climatechange  https://t.co/mCbIhlpaJ0',1,'North West  England',,,
52,889729223698640896,karolmcc,'RT @slowtheflow_UK: The latest The Natural flood management Daily! https://t.co/8G9XsS45O9 #climatechange',2,'',,,
53,889729220431290368,NRGrenaissance,'RT @JohnLocker4: In Australia the lunatics truly run the Asylum #LNP  #climatechange #coalkills https://t.co/elbSKzIKmK',2,'Sydney  New South Wales',-33.8688197,151.2092955, Australia
54,889729220313702400,dearjudge,'RT @theecoheroes: Sea level fears as Greenland darkens #environment #climatechange  https://t.co/GvvjRDm1fV',5,'',,,
55,889729210583044097,roomeezon,"'RT @WWFPak: In #Ayubia National Park: A story of women, #leopards, &amp; #climatechange.\nSabiha Zaman,field assistant, @WWFPak.\n https://t.co/m\xe2\x80\xa6'",1,'Earth',37.2321077,-95.7243335, USA
56,889729179536764929,deCOALonize,'RT @CJGEA: Last night #PresidentialDebateKE @phyllis_omido posed the question of #climatechange #pollution @deCOALonize @UNEP https://t.co/\xe2\x80\xa6',3,'Kenya',-0.023559,37.906193,Kenya
57,889729135043629056,giancarlo_onnis,'RT @PaulEDawson: Recent study reveals economic effects of #climatechange\n#ActOnClimate #KeepItInTheGround https://t.co/cL25BhKOne',30,'',,,
58,889729043637170176,VLEDproject,'RT @UrbanDevPH: UN-Habitat CPM @RolloCris: we will continue to support local govts in addressing #climatechange  challenges &amp; opportunities\xe2\x80\xa6',3,'Berlin  Deutschland',52.52000659999999,13.404954, Germany
59,889729040847974400,giancarlo_onnis,"""RT @PaulEDawson: It's not your imagination: 2017 has been abnormally hot so far. #ActOnClimate #KeepItInTheGround #ClimateChange  https://t\xe2\x80\xa6""",41,'',,,
60,889729034690670592,roomeezon,'RT @thefolktoday: Time is precious we need to take action on #climatechange and wean ourselves from #fossilfuels listen to what we... https\xe2\x80\xa6',1,'Earth',37.2321077,-95.7243335, USA
61,889729004974075905,deCOALonize,"'RT @dobura: #Lamu #coal contradicts #Kenya\xe2\x80\x99s promises on #climatechange, #environment, #sustainability, #health, #vision2030 https://t.co/w\xe2\x80\xa6'",3,'Kenya',-0.023559,37.906193,Kenya
62,889728958455009281,ChristinaCritc2,"""RT @NRDC: Trump's proposed budget cuts will undermine important data programs &amp; studies in areas including #ClimateChange. https://t.co/TXu\xe2\x80\xa6""",43,'',,,
63,889728941853876225,OReganJoe,'Week 21 Sweden: Sweden showing steely determination towards a fossil fuel free future https://t.co/M1N9svjb9H #Co2 #Carbon #Climatechange',1,'London  Ontario',42.9849233,-81.2452768, Canada
64,889728869808386048,roomeezon,"'RT @BenAndJerrysOz: #Australia, last month was the 2nd driest June since standard data began in 1910!! Read more #Climatechange impacts: ht\xe2\x80\xa6'",1,'Earth',37.2321077,-95.7243335, USA
65,889728673418489856,BenAndJerrysOz,"'#Australia, last month was the 2nd driest June since standard data began in 1910!! Read more #Climatechange impacts: https://t.co/r73apHZw6y'",1,'Australia',-25.274398,133.775136,Australia
66,889728648646983680,ArcticFinlandia,'RT @arcticportal: How #climatechange is Spurring Wildfires in #Alaska and NWT https://t.co/SJPYsmdn6z https://t.co/7sM6Gj5YxK',2,'',,,
67,889728573824794624,thefolktoday,'Time is precious we need to take action on #climatechange and wean ourselves from #fossilfuels listen to what we... https://t.co/AZm3uRPM9F',1,'Wellington  New Zealand',-41.2864603,174.776236, New Zealand
68,889728368811397120,WWFPak,"'In #Ayubia National Park: A story of women, #leopards, &amp; #climatechange.\nSabiha Zaman,field assistant, @WWFPak.\n https://t.co/mleetQ94uF'",1,'Across Pakistan',30.375321,69.34511599999999,Pakistan
69,889728298892365824,ockhams,'RT @overthelies2010: Excellent video! https://t.co/RacDAw37wr #auspol #qldpol #ausmedia #climatechange #co2 #fossilfuels @EcoSenseNow',9,'',,,
70,889728103135817728,GrahamMillman,'RT @theecoheroes: Sea level fears as Greenland darkens #environment #climatechange  https://t.co/GvvjRDm1fV',5,'North West  Disunited Kingdom',55.378051,-3.435973,United Kingdom
71,889727946373640192,ClimateGarden,"'RT @UNFCCC: Thanks @NASA for keeping an eye on the #Arctic, where summer ice melt due to #climatechange is accelerating: https://t.co/vLTWd\xe2\x80\xa6'",85,'London  England',51.5073509,-0.1277583, UK
