,id,user,text,retweet_count,location,latitude,longitude,country
0,889612811017609217,gockas34,"'RT @AztecaTrece: Ya que Feriha nunca se anim\xc3\xb3, \xc2\xa1Halil podr\xc3\xada ser quien le revele todo a Emir!  \xf0\x9f\x98\xb0Descubre qu\xc3\xa9 pasar\xc3\xa1 hoy en #FerihaMx. https\xe2\x80\xa6'",1,'',,,
1,889612326588080135,gockas34,"'RT @Azteca: #FerihaMx: Asistir al desfile de modas de Lara podr\xc3\xada salirle muy caro a Feriha, \xc2\xbfEmir descubrir\xc3\xa1 todo sobre ella? \xf0\x9f\x98\xa8https://t.c\xe2\x80\xa6'",2,'',,,
2,889611833161785350,gockas34,'RT @AztecaTrece: #FerihaMx: \xc2\xbfFeriha fue capaz de contarle su verdad a Emir? \xf0\x9f\x98\x93 Da clic y desc\xc3\xbabrelo: https://t.co/IjFfgJkKSO https://t.co/aQ\xe2\x80\xa6',10,'',,,
3,889610538086543361,MeRoboMiVidaMx,'RT @NovelasTRMx: Ratings\n#ElifEnImagen 4..3\n#MeRoboMiVidaMx 5.3\n#KaraSevda 6.7\n#FerihaMx 5.7\n#ElSultanEnImagen 5.6\n#KuzeyGuneyMx 4.2',2,'M\xc3\xa9xico',45.5049376,-122.6252431, USA
4,889608928920784900,SultanaBaula,'RT @NovelasTRMx: Ratings\n#ElifEnImagen 4..3\n#MeRoboMiVidaMx 5.3\n#KaraSevda 6.7\n#FerihaMx 5.7\n#ElSultanEnImagen 5.6\n#KuzeyGuneyMx 4.2',2,'Palacio de Cristal',40.4136266,-3.6820397, Spain
5,889608876206718976,NovelasTRMx,'Ratings\n#ElifEnImagen 4..3\n#MeRoboMiVidaMx 5.3\n#KaraSevda 6.7\n#FerihaMx 5.7\n#ElSultanEnImagen 5.6\n#KuzeyGuneyMx 4.2',2,'CDMX',19.4326077,-99.133208, Mexico
6,889607462529241088,ochito_,'RT @FerihaYEmirMx: Este es el Avance de #FerihaMx #ElSecretodeFeriha \nPor @AztecaTrece https://t.co/DMuCWPbVUv',5,'',,,
7,889606300371439616,Flormills8,'RT @AztecaTrece: #FerihaMx: \xc2\xbfFeriha fue capaz de contarle su verdad a Emir? \xf0\x9f\x98\x93 Da clic y desc\xc3\xbabrelo: https://t.co/IjFfgJkKSO https://t.co/aQ\xe2\x80\xa6',10,'Buenos aires  Alejandro korn',-34.9753793,-58.38072880000001, Argentina
8,889605927623696388,MoreCortez4,'RT @AztecaTrece: #FerihaMx: \xc2\xbfFeriha fue capaz de contarle su verdad a Emir? \xf0\x9f\x98\x93 Da clic y desc\xc3\xbabrelo: https://t.co/IjFfgJkKSO https://t.co/aQ\xe2\x80\xa6',10,'Estambul  Turqu\xc3\xada',41.0082376,28.9783589, Turkey
9,889600251899916288,Kerenquispe1,'RT @FerihaYEmirMx: En minutos el avance de #FerihaMx',2,'',,,
10,889598806429376512,AztecaTrece,"'Ya que Feriha nunca se anim\xc3\xb3, \xc2\xa1Halil podr\xc3\xada ser quien le revele todo a Emir!  \xf0\x9f\x98\xb0Descubre qu\xc3\xa9 pasar\xc3\xa1 hoy en #FerihaMx\xe2\x80\xa6 https://t.co/TdUKbTowpQ'",1,'M\xc3\xa9xico',45.5049376,-122.6252431, USA
11,889594945283252225,SultanaBaula,'RT @AreSpindola70: @FerihaYEmirMx @AztecaTrece Tendr\xc3\xa9 un infarto \xf0\x9f\x98\xaf\xf0\x9f\x98\xaf Halil no te hagas m\xc3\xa1s dif\xc3\xadcil la separaci\xc3\xb3n. Entiende #FerihaMx no te q\xe2\x80\xa6',2,'Palacio de Cristal',40.4136266,-3.6820397, Spain
