,id,user,text,retweet_count,location,latitude,longitude,country
0,890571733987713024,Bets4Fr33,'There Now giving everyone \xc2\xa310 Completely Free !! Only Here \xe2\x9e\xa1\xef\xb8\x8f https://t.co/NA5kjwLkPE #Spurs #Pogba #Silva https://t.co/qmS4mqPEm6',0,'United Kingdom\xc2\xa3200 First Deposit Bonus  \xe2\xac\x87\xef\xb8\x8f \xe2\xac\x87\xef\xb8\x8f',55.378051,-3.435973,United Kingdom
1,890571561777975296,SanAntSpurs,'Today is the only day. Yesterday is gone. \xe2\x80\x93 John Wooden #sportstar #spurs',0,'San Antonion  TX',29.4241219,-98.49362819999999, USA
2,890571399814926337,SanniAzeez19,'#Spurs to battle premier league rival for #InterMilan striker. #TransferTalk \nhttps://t.co/tgv201Kt7N https://t.co/xXDklmrKYq',0,'Lagos  Nigeria',6.5243793,3.3792057, Nigeria
3,890571278234652672,kings_bets,'Fancy \xc2\xa340 Free ? Deposit \xc2\xa310 and Claim Here \xe2\x9e\xa1\xef\xb8\x8f https://t.co/rk5yIGggZ1 #Mufc #spurs https://t.co/aKAOeGOn7q',0,'\xc2\xa3200 First Deposit Bonus  \xe2\xac\x87\xef\xb8\x8f',,,
4,890570890844528644,sportsgyaani,'Antonio Conte questions Tottenham\xe2\x80\x99s ambition!! #CFC #Spurs  https://t.co/Yh9zeFB4tv',0,'',,,
5,890570458780794880,LondonTaxi_Chaz,'haha #Conte is really making is views heard for #Tottenham - I make him right #Spurs have no spine &amp; will always tr\xe2\x80\xa6 https://t.co/S59A9efDoH',0,'london uk',51.5073509,-0.1277583, UK
6,890570439340306432,earinnn,'RT @ASAP_SportsNews: NBA - The TOP 25 @Spurs PLAYS from the 2016-17 season! #Spurs #SpursNation https://t.co/MQW3WF3tvx',4,'Brooklyn  NY / Reading  PA',40.6781784,-73.9441579, USA
7,890568782401462273,Spursgomarchin1,'Today is the only day. Yesterday is gone. \xe2\x80\x93 John Wooden #sportstar #spurs',0,'London  UK',51.5073509,-0.1277583, UK
8,890568725820317697,spursnewsonly,'#Spurs #Tottenham #TottenhamHotspur Arsenal Close in on Highly-Rated Man City Youngster as Player Stalls Over .. https://t.co/2qyHJexVN4',0,'',,,
9,890568571721572353,newnewspage,"""Shots fired  @AntonioConte is sceptical about #Spurs' title chances https://t.co/9ajIPJBP37 https://t.co/7KKabDn0Ex""",0,'Los Angeles  CA',34.0522342,-118.2436849, USA
10,890568559914504192,gauwritinig1983,'RT @floopez: Manu Manu Manu Manu #grandpajuice @manuginobili tremendo animalito de dios #20 #spurs',3,'',,,
11,890568093478432768,Kimber37634128,'RT @OfficialJuicem1: #Spurs #KyrieIrving \xf0\x9f\x8f\x80\xf0\x9f\x8f\x80 https://t.co/yCxh9tGRdw',1,'',,,
12,890567916529254405,fasfionM,'RT @thfcfeed: Woking sign former Tottenham Hotspur defender on loan from Norwich City #spurs #thfc #bpl https://t.co/MGLKiLZgG6',2,'',,,
13,890567846484299776,SoRandomPH,"""Y'all more excited on Kyrie's or Melo's trade? #Cavs #Spurs #Knicks #Rockets""",0,'Republic of the Philippines',12.879721,121.774017,Philippines
14,890567634000924672,CThunder,'RT @HooperShooter: #Spurs https://t.co/EN7GCa2oUf',1,'on the planet',46.72141800000001,-92.10434599999999, USA
