,id,user,text,retweet_count,location,latitude,longitude,country
0,889906549497499648,Zzzzzzzoooeee,'RT @WatchO_Retail: Summer Competition! Win a Free G-SHOCK watch worth \xc2\xa3130! Follow &amp; Retweet to #WIN or Vote here: https://t.co/pqVh2DtRd0\xe2\x80\xa6',53,'England  United Kingdom',52.3555177,-1.1743197, UK
1,889906547089977345,wizardewu,'RT @Simply7Snacks: Snacks anyone? RT and follow for your chance to #win a case of all our flavors! Winner chosen 7/26 - good luck! https://\xe2\x80\xa6',30,'',,,
2,889906544405606402,jflessauSpam,"'#WIN Fav, Follow and Retweet to win a balding wodge-shuffling Venetian Satsuma Wrangler - NI https://t.co/bn8iR8xxre'",0,'Germany',51.165691,10.451526,Germany
3,889906535383670787,franciscofabre,'#win \xe2\x80\x9cSarahah es el patio de las viejas chismosas\xe2\x80\x9c',0,'Shadow Moses',47.1293934,-119.2799444, USA
4,889906534905511937,KayKayLove21,'RT @realbuzzcom: Ready to get your smoothie on? RT &amp; Follow to enter our #competition #giveaway and #win a Nutri Bullet blender. #realbuzzN\xe2\x80\xa6',288,'Idaho  USA',44.0682019,-114.7420408, USA
5,889906533026451458,sarahrob78,"'RT @MumsnetTowers: RT &amp; Follow to #win 4 tickets to @legoshow London this Saturday 29 July &amp; be among the first to play with #maykatape, co\xe2\x80\xa6'",34,'Essex',41.3504917,-72.4053311, USA
6,889906527322202112,susiedarlo,"'RT @OrchardToys: Summer #Competition Day 2 - #WIN Llamas in Pyjamas, a fun travel game for ages 3-6 with quirky llamas! LIKE and RT to ente\xe2\x80\xa6'",459,'',,,
7,889906514856693760,daniel_hopwood,"""RT @SportPlaylists: We're giving away Public Service Broadcasting's album 'Every Valley'. RT &amp; Follow for your chance to #WIN! #giveaway \xf0\x9f\x8e\xa7\xf0\x9f\x98\x80\xe2\x80\xa6""",70,'',,,
8,889906498440237057,patosaucee,'RT @LAWeeklyStreet: RT +Follow us to #win tickets to Rooney @TeragramLA 7/29! #FreeTicketTuesday https://t.co/Ua25uvPGuH https://t.co/sLQ6l\xe2\x80\xa6',31,'mars',37.0901287,-95.71505820000002, United States
9,889906498276651010,RachelAnneLeee,'RT @loppys1234: @HitachiRailEU wow wee super\n@RachelAnneLeee \n#win',1,'instagram: muffinmoobear',,,
10,889906497009963008,AnnFantom,'#Contest Enter to #win a #TheNutJob2 #PrizePack from @OutnumberedMama #Prizes https://t.co/wpa6AjvgVV',0,'',,,
11,889906495760019456,Grahamp73,"""RT @tradefituk: Help with the nuts &amp; bolts? #win Bahco socket set #competition 4 trades FOLLOW &amp; RETWEET to #win \nT&amp;C's apply #mind https:/\xe2\x80\xa6""",84,'North East  England',,,
12,889906487589564416,ZoStep69,'@DunlopilloUK Good pillows are a must have for a good nights sleep #healthysleep #win',0,'',,,
13,889906486184488960,SaxonFiona,'RT @SeabrookCrisps: Very Tasty Tuesday! \xf0\x9f\x91\x8d  #RT and follow for the chance to #WIN a box of crisps\n (UK Only) https://t.co/Jn3VivQkSP',1507,'Castleton  England',53.34368139999999,-1.7765105, UK
14,889906483252649985,Nightowlmama,"'RT @Gamesfund: #Win a Nintendo Switch! Entry by way of following, liking &amp; re-tweeting us. https://t.co/SM50YJQWyp #prize #competiton #give\xe2\x80\xa6'",245,'Chicago  IL USA',41.8781136,-87.6297982, USA
15,889906479624593408,BobbyBabbage,"'RT @coiffedquaffer: The biggest #yoga #competition ever to #win over \xc2\xa325,000 of prizes! w/@yogotheapp #retweet https://t.co/DjdPUfmyw3'",8,'United Kingdom',55.378051,-3.435973,United Kingdom
16,889906477670047746,AliceBee1234,'RT @DunlopilloUK: #WIN a pair of Dunlopillo Super Comfort Pillows worth over \xc2\xa3100! Simply follow @DunlopilloUK RT &amp; comment #healthysleep f\xe2\x80\xa6',1002,'',,,
17,889906473568014336,PELEBARNES,"'RT @AdvertAvenue: #Win a Nintendo 2DS XL! Simply follow, like &amp; rt. Pre-release. See https://t.co/MR1kcFBX3G #prize #competition #giveaways\xe2\x80\xa6'",643,'Leicester',52.6368778,-1.1397592, UK
18,889906469910564864,UtterlyBumpty,'#Win a \xc2\xa350 Inkmill voucher with @hisforhome Click to enter\xe2\x98\x9b https://t.co/3klVSjtGU6 #competition #giveaway #wallart #decal #sticker #vinyl',0,'',,,
19,889906465380683776,AliceBee1234,"""RT @tudortimeshop: It's #tudortimestuesday! RT &amp; #follow &amp; you could #win this set of Architecture tea towels, perfect for #summer BBQs htt\xe2\x80\xa6""",73,'',,,
20,889906463975583744,OnAMommyClock,'RT @PuritansPride: Enter the Outdoor Adventures Sweepstakes for a chance to #win a $200 #prize pack: https://t.co/lx3R2OLR1w  #sweepstakese\xe2\x80\xa6',7,'Florida  USA',27.6648274,-81.5157535, USA
21,889906461475844097,RachelAnneLeee,'RT @cocoroselondon: Happy #TuesdayShoesday \xf0\x9f\x8e\x89RT to #WIN our lovely Union Jill loafers \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x87\xac\xf0\x9f\x87\xa7\n#Giveaway #Competition https://t.co/Qrrjw5k9RU ht\xe2\x80\xa6',469,'instagram: muffinmoobear',,,
22,889906457747091457,Zzzzzzzoooeee,'RT @TigerBalmCanada: LAST CHANCE! RT &amp; Follow for a chance to #win a large 50g tin of #TigerBalmUltra! Ends today! https://t.co/wVVmKQOm12',43,'England  United Kingdom',52.3555177,-1.1743197, UK
23,889906454865563648,BroiledSports,"'RT @TwoManPowerTrip: Go to our FB page for ANOTHER chance to #WIN - This time an Arn Anderson Signed WCW Card. Get us to 1,000 likes #RAW h\xe2\x80\xa6'",4,'The Beautiful Jersey Shore',40.062646,-74.14371009999999, USA
24,889906454219632641,90_syl,'RT @Difortis: Retweet &amp; follow for a chance to #WIN our selection of beers and snacks! give in this #SUMMER  #Competition #GiveAway #weeken\xe2\x80\xa6',339,'Exeter  England',50.718412,-3.533899, UK
25,889906448951648256,Cosmonauty,'RT @cocoroselondon: Happy #TuesdayShoesday \xf0\x9f\x8e\x89RT to #WIN our lovely Union Jill loafers \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x87\xac\xf0\x9f\x87\xa7\n#Giveaway #Competition https://t.co/Qrrjw5k9RU ht\xe2\x80\xa6',469,'Cornwall',50.26604709999999,-5.0527125, UK
26,889906447198322689,Donnavkebab,"""RT @casdontoysuk: It's #competition time! RT &amp; FLW this post for your chance to win a Casdon Post Office. Comp closes 30.07.2017 #Win #Give\xe2\x80\xa6""",360,'Poole  England',50.71505,-1.987248, UK
27,889906446720278529,NKPB26,"""RT @MortgageKeyUK: July's #Competition \xe2\x98\x80\nRT &amp; Follow to #win this @Bettys1919 'York Hamper' \xf0\x9f\x8d\xbe\xf0\x9f\x8d\xb0 worth \xc2\xa3200! #MortgageKey \xf0\x9f\x8f\xa1\xf0\x9f\x94\x91\nT&amp;Cs apply \xf0\x9f\x94\x9e\n#gi\xe2\x80\xa6""",1887,'London  UK',51.5073509,-0.1277583, UK
28,889906446414094336,RachelAnneLeee,'RT @loppys1234: @cocoroselondon Happy #TuesdayShoesday\nWOW WEE\n@RachelAnneLeee \nLOVE THESE \n#WIN',1,'instagram: muffinmoobear',,,
29,889906444614717442,AliceBee1234,"'RT @GardmanWBC: #win #giveaway grab yourself a #Gardman Sunflower Bird Bath, FOLLOW &amp; RT by 12pm July 31st https://t.co/cEr5KVKimm #birding\xe2\x80\xa6'",233,'',,,
30,889906442668519425,TheLadyCatalina,'RT @ValeMowbrayPies: Just RT + follow to #win a range of our pork pies &amp; a bottle of @YorkshireGin  #Competition #gin! Winner selected on #\xe2\x80\xa6',166,'South Yorkshire  England  UK',53.46969679999999,-1.3259683, UK
31,889906438138736641,tarcsafalvi,'RT @SweetpeaPantry: Chance to #WIN 2 Healthy Baking Mixes/Wooden Spoon/Cutters FOLLOW &amp; RT #ISpySweetpea (Now available at #Sainsburys) htt\xe2\x80\xa6',113,'',,,
32,889906433864728576,AliceBee1234,'RT @GardmanWBC: #win \xc2\xa350 worth of #Gardman #WildBird Care products FOLLOW &amp; RT by 12pm August 11th https://t.co/o723d7lyYk #birding #wildbi\xe2\x80\xa6',162,'',,,
33,889906428110139393,mysterymoosifer,'RT @macaronsandmore: #Win a box of macarons in our #competition! Follow &amp; RT. \xf0\x9f\x98\x81\xf0\x9f\x99\x8c\xf0\x9f\x8f\xbc\nhttps://t.co/eAowSm75Zk\n#MacaronMonday #NorwichHour #Norf\xe2\x80\xa6',393,'Surrey',51.31475930000001,-0.5599501, UK
34,889906425966862341,_AIexandra_,'RT @sgftv: #FreebieFriday #Win a Caribbean food hamper for a chance to win RT &amp; follow @sgftv &amp; @CaribbeanFoodWk by 6pm this Friday https:/\xe2\x80\xa6',78,'England  United Kingdom',52.3555177,-1.1743197, UK
35,889906420531044352,AliceBee1234,'RT @realbuzzcom: Ready to get your smoothie on? RT &amp; Follow to enter our #competition #giveaway and #win a Nutri Bullet blender. #realbuzzN\xe2\x80\xa6',288,'',,,
36,889906418890964994,Mellymoo6940,'RT @SoFreeChocolate: Retweet &amp; follow us for a chance to #win these delicious #Organic thin So free chocolate bars. #24hSofreegiveaway Comp\xe2\x80\xa6',169,'Yorkshire Lass Born and Bred',,,
