,id,user,text,retweet_count,location,latitude,longitude,country
0,889648439201456128,pablorodas,"""#CLIMATE #p2 RT  Religious leaders occupy environment minister's office to protest Carmichael coalmine\xe2\x80\xa6 https://t.co/4jpyjXpDbE""",0,'Warsaw  Poland',52.2296756,21.0122287, Poland
1,889648431828021248,mass_writer,'#p2 #uniteblue Pharmaceutical Company AbbVie Hit with $150 Million Jury Verdict for Falsely Marketing Testoster... https://t.co/Fe0Qdtj8Yw',0,'Massachusetts  USA',42.4072107,-71.3824374, USA
2,889648431815426054,mass_writer,'#p2 #uniteblue Factory Animal Farms Will Hate This Recent Court Ruling \xe2\x80\x93 America\xe2\x80\x99s Lawyer https://t.co/sPvBBVZibG',0,'Massachusetts  USA',42.4072107,-71.3824374, USA
3,889648397329854465,mass_writer,'#p2 #UniteBlue Newly Declassified Documents Confirm U.S. Backed 1953 Coup in Iran Over Oil Contracts https://t.co/qiwO8vQDtu',0,'Massachusetts  USA',42.4072107,-71.3824374, USA
4,889648333148565505,ZoopsGarage,"'RT @ConservativeFB: .@DJTrump45 Cuts WH Budget, Saves Americans $22 Million. #MAGA #USA #AmericaFirst #Trump45 #tcot #tlot #P2 https://t.co\xe2\x80\xa6'",9,'United States',37.09024,-95.712891,United States
5,889648317059260416,writer2go,'#pettition #p2 Weekly Resistance: 5 Ways to Take Action July 24-30 https://t.co/A8JqS08wHN',0,'Massachusetts',42.4072107,-71.3824374, USA
6,889648044614066176,BegiiiGiles,'RT @skepticalbrotha: Inside the frayed relationship between Donald Trump and Jeff Sessions - ABC News - https://t.co/wq74WVfomA via @ABC #p2',1,'Washington  DC',38.9071923,-77.0368707, USA
7,889647982215344134,politicususa,'Trump White House Privately Considering Replacing Jeff Sessions With Ted Cruz via @politicususa https://t.co/fQOfRC9Uzb #p2 #ctl',7,'USA',37.09024,-95.712891,United States
8,889647909414854656,edersuzanne,"""Tell @SenateDems: Don't let Trump Republicans gut Wall Street reform https://t.co/M7i4SvXI7q via @CREDOMobile #p2""",0,'Wisconsin  USA',43.7844397,-88.7878678, USA
9,889647755492282373,24hrTVMazi,'RT @nedryun: Rolling Stone Confirms: Ultra-Rich Gay Activist Is Targeting \xe2\x80\x98Wicked\xe2\x80\x99 Christians. https://t.co/H8muYwOh2m #MAGA #p2',16,'',,,
10,889647652920578048,CREDOMobile,'MUST READ on @Medium: Stop the largest coal export terminal in North America https://t.co/qkZmlljR78\xe2\x80\xa6 https://t.co/A9NYrRuGDl',0,'',,,
11,889647618053345280,OurBestTimeline,'RT @BigGator5: #JonathanMonsarrat Suing #EncyclopediaDramatica ...For Reasons https://t.co/28paHgxUHb @CountDankulaTV #tcot #p2 #lawsuit #s\xe2\x80\xa6',1,'',,,
12,889647481776222208,bentzminger,"""The Republicans' growth plan doesn\xe2\x80\x99t add up. That\xe2\x80\x99s an opening for Democrats. https://t.co/EsxqWPI2US via @econjared #p2 #tcot #uniteblue""",0,'Takoma Park  MD',38.9778882,-77.0074765, USA
13,889647325433520129,arynkw,'RT @LibertyLivesHer: Voter Fraud in Colorado - Registrants Bail Under Fed Scrutiny. #VoterFraud #MAGA #tcot #tlot #P2 #USA https://t.co/yqd\xe2\x80\xa6',3,'',,,
14,889647292415967232,midroad1,'RT @pablorodas: #CLIMATE #p2 RT  Extreme El Ni\xc3\xb1o events more frequent even if warming limited to 1.5C \xe2\x80\x93 report https://t.co/D8xkl0c3GG #tlo\xe2\x80\xa6',6,'Voorheesville  NY',42.65396700000001,-73.9287365, USA
15,889647267468255232,bentzminger,'Joe and Mika (and Donald): A Beltway Love Story https://t.co/7Jm7MsQKsF via @intelligencer #p2 #tcot #uniteblue',0,'Takoma Park  MD',38.9778882,-77.0074765, USA
16,889647243686551556,JamesHawkeye22,'RT @petefrt: Berlin: 92% of left-wing activists live with their parents and one in three is unemployed \n\n#tcot #pjnet #p2 https://t.co/WXPw\xe2\x80\xa6',11,'',,,
17,889647220231950340,sandyriccobono,"""RT @nedryun: It's OK to embrace your elite education, Jake. https://t.co/FMJbI5MLZf #MAGA #p2""",9,'',,,
18,889647135368634369,LibertysHeroes,'#ISIS On The Run Under #Trump45! #Terrorism #MAGA #USA #tcot #P2 https://t.co/myeXnJ8R5I',2,'Land of The Free',,,
19,889647099360444416,bentzminger,'Trumpcare Is the Worst-Designed Social Policy in History https://t.co/Wx2U1s4CpZ via @intelligencer #p2 #tcot #uniteblue',0,'Takoma Park  MD',38.9778882,-77.0074765, USA
20,889646976714854406,bentzminger,'Trump Humiliates Jeff Sessions on Twitter https://t.co/Coa2d4IOfl via @intelligencer #p2 #tcot #uniteblue',0,'Takoma Park  MD',38.9778882,-77.0074765, USA
21,889646958331256832,Coelacanth1938,"'RT @HGTomato: Brazilians funneled as ""slaves"" by US church\nhttps://t.co/ZanAKC1MZ2\n#p2 #teaparty #maga #resist https://t.co/G0U4ZkmnXv'",4,'Las Vegas  Nevada',36.1699412,-115.1398296, USA
22,889646956024393728,The_Anti_Fox,'@POTUS @realDonaldTrump #TrumpRussia so many red lights ignored #P2 #TCOT @HouseGOP @SenateGOP @SenateDems\xe2\x80\xa6 https://t.co/uPqcxGTYkm',0,'Seattle Area',47.6189905,-122.3130228, USA
23,889646939742109702,Yuten_17,'RT @pablorodas: #CLIMATE #p2 RT  Great white shark feast caught on film points to population rebound in US https://t.co/kb7YijSpZO #tlot #c\xe2\x80\xa6',1,'Philippines',12.879721,121.774017,Philippines
24,889646907508891650,KristinFaller11,'RT @Prime_Politics_: Scalise Thrills GOP Colleagues With Surprise Phone Call\n\nMORE: https://t.co/CSFU4f6Qb4\n\n#tcot #P2',16,'Baton Rouge  LA',30.4514677,-91.18714659999999, USA
25,889646905881489410,indivis_macomb,"'#Shoutout 2 McDonough County Democrats Chair, @LeeTrotterIL, who is now on Twitter. Please follow him! #UniteBlue #FF #p2 #twill'",0,'West Central  IL',40.8493404,-90.9007164, USA
26,889646685735051265,pablorodas,'#CLIMATE #p2 RT  Great white shark feast caught on film points to population rebound in US https://t.co/kb7YijSpZO\xe2\x80\xa6 https://t.co/Z0yNhEqjqM',1,'Warsaw  Poland',52.2296756,21.0122287, Poland
27,889646592235646976,03forester,'RT @petefrt: Monica Crowley Warns Trump: This is war. They aim to destroy you personally. They want you in prison. #tcot  #p2 https://t.co/\xe2\x80\xa6',4,'',,,
28,889646350895394817,bentzminger,"'Scott Pruitt Spent Much of Early Months at E.P.A. Traveling Home, Report Says https://t.co/eI4gTG36G5 via @nytimes #p2 #tcot #uniteblue'",0,'Takoma Park  MD',38.9778882,-77.0074765, USA
29,889646330372640768,izzie_adams2,'RT @AngryVoters: The DNC &amp; Democratic Elites learned nothing from Bernie Sanders\n#DNCFraudLawsuit\n#PROGRESSIVEorBUST\n#p2 #11u #PDA #unitebl\xe2\x80\xa6',14,'Pensacola  FL',30.42130899999999,-87.2169149, USA
30,889646328606859264,I_Karumba,""".@Scaramucci Russian meddling proven to be true. You've become a tool of despots determined to destroy democracy.\xe2\x80\xa6 https://t.co/t3tT2qIkPo""",5,'#UniteBlue',,,
31,889646311389224961,D_TownFan,'RT @IdiotDems: DNC Broke - Still Losing Tons of Money. #IdiotDems #DemFail #DemExit #DNC #tcot #P2 #BarackObama #HillaryClinton https://t.c\xe2\x80\xa6',1,'United States',37.09024,-95.712891,United States
32,889646310504247296,Sylvaners,"""RT @shereedre10: Donald Trump has only two modes: adoration and survival. That's it! @DavidCayJ #hardball #p2""",1,'Joliet  IL',41.525031,-88.0817251, USA
33,889646243739295744,kttk234567,"'Americans filing far fewer lawsuits... https://t.co/mu26sUVXOd\n\n\xe2\x80\x94 DRUDGE REPORT (DRUDGE_REPORT) July 25, 2017\n\n#tcot #p2'",0,'Satire  USA',37.09024,-95.712891,United States
34,889646240312549378,bentzminger,"'The Kook, \xe2\x80\x98the Mooch\xe2\x80\x99 and the Loot https://t.co/gSaWdPLfiS via @charlesmblow #p2 #tcot #uniteblue'",0,'Takoma Park  MD',38.9778882,-77.0074765, USA
35,889646066693525504,Jamestoupin,'RT @Serpentine202: KEEP THE PRESSURE ON.\n\nCONTACT YOUR SENATORS.\n\nTHEY VOTE TOMORROW\n\n#p2 #news #politics #ctl #tlot #gop #healthcare #indi\xe2\x80\xa6',5,'Edmonton  Alberta  Canada',53.544389,-113.4909267, Canada
36,889646049354240000,Jankowski60,'@BigEers JUST SAY NO TO UNCLE JOE. #P2 #justsayin',0,'Chicago & SW Michigan',42.9234817,-85.7366811, USA
37,889646034439294976,NutherFineMess,'RT @Serpentine202: KEEP THE PRESSURE ON.\n\nCONTACT YOUR SENATORS.\n\nTHEY VOTE TOMORROW\n\n#p2 #news #politics #ctl #tlot #gop #healthcare #indi\xe2\x80\xa6',5,'North America - Above The Wall',54.5259614,-105.2551187,North America
38,889645971554152450,bentzminger,'Health Care Is Still in Danger https://t.co/aRopnJWIu2 via @nytimeskrugman #p2 #tcot #uniteblue',0,'Takoma Park  MD',38.9778882,-77.0074765, USA
39,889645952616804353,crt39437,'RT @nedryun: So weird for a guy that supposedly hates women. . . https://t.co/RSihPDSqGG #MAGA #p2',54,'Alabama  USA  Mississippi  USA',32.4075839,-86.25955429999999, USA
40,889645881338847232,MSatheists,'Mississippi Nissan workers hope for historic win in 14-year fight to unionize https://t.co/BNXizIJ2Gi #mississippi\xe2\x80\xa6 https://t.co/qOdT6gDB9J',0,'Mississippi',32.3546679,-89.3985283, USA
41,889645627537215490,IdiotDems,'DNC Broke - Still Losing Tons of Money. #IdiotDems #DemFail #DemExit #DNC #tcot #P2 #BarackObama #HillaryClinton https://t.co/tb3vWPDggg',1,'ObamaVille  USA',37.09024,-95.712891,United States
42,889645516392460289,basketcase55,'RT @BobEisenhauer: #TheResistance #Resist #Resistance #Progressives #Millennials #libcrib #p2 #ImpeachTrump #DemForce #occupy #BlackTwitter\xe2\x80\xa6',4,'Berea  Ohio',41.3661614,-81.8543026, USA
43,889645499753668609,ThomasRhyspe,"'RT @PronosConseilFr: @pronosben26 Montante : 5 -&gt; 100\n#P2    \xe2\x9a\xbd\xef\xb8\x8fArsenal Tula \xe2\x9c\x85\n@1,60  \xf0\x9f\x92\xb06 -&gt; 9,6 \xe2\x9c\x85\nBK 5 + 9,6 = 14,6 \xe2\x82\xac\n15 RT/\xe2\x9d\xa4\xef\xb8\x8f pour la suite\xe2\x80\xa6'",6,'Toulouse  France',43.604652,1.444209, France
44,889645430698635264,JunkYardGypsies,"'RT @ConservativeFB: .@DJTrump45 Cuts WH Budget, Saves Americans $22 Million. #MAGA #USA #AmericaFirst #Trump45 #tcot #tlot #P2 https://t.co\xe2\x80\xa6'",9,'Lafayette  IN',40.4167022,-86.87528689999999, USA
