,id,user,text,retweet_count,location,latitude,longitude,country
0,8.89982E+17,AkEl_Saruman,'RT @IvanSidorenko1: #Syria Agreement SIGNED btw #SDF &amp; #SAA &amp;  #Tribal_Fighters that #SDF hand over areas of Southern / Eastern #Raqqa http\xe2\x80\xa6',22,'',,,
1,8.89982E+17,CemalKuririn,"'RT @raqqacampaign: Photos of #SDF from inside #Akirishi village east of #Raqqa city, after rumors circulated about handing over to the #Syr\xe2\x80\xa6'",6,'Norwegen',60.472024,8.468946,Norway
2,8.89982E+17,TitusMichaeleus,'RT @IvanSidorenko1: #Syria #Raqqa July 20 #SDF &amp; #SAA &amp; #Tribal_Forces Signed  Agreement for #SDF to HAND OVER Ukairshy/Dahlah/Muqla/Zawr S\xe2\x80\xa6',39,'',,,
3,8.89981E+17,Heisse13,"'RT @raqqacampaign: Photos of #SDF from inside #Akirishi village east of #Raqqa city, after rumors circulated about handing over to the #Syr\xe2\x80\xa6'",6,'http://t.co/Y9GoRXq8rb',,,
4,8.89981E+17,AfarinMamosta,"'RT @raqqacampaign: Photos of #SDF from inside #Akirishi village east of #Raqqa city, after rumors circulated about handing over to the #Syr\xe2\x80\xa6'",6,'Kurdistan',36.4103395,44.3871953, Iraq
5,8.89981E+17,prpsftclffrd,'RT @DoudouDeLaValle: #U2Paris #joshuatreetour2017 \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb #SDF https://t.co/g2QWEUPq6G',2,'thelma',41.179187,-73.190179, United States
6,8.8998E+17,96ftdrew,'RT @DoudouDeLaValle: #U2Paris #joshuatreetour2017 \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb\xf0\x9f\x91\x8d\xf0\x9f\x8f\xbb #SDF https://t.co/g2QWEUPq6G',2,'selena.hailey',,,
7,8.8998E+17,vassozacharof,'RT @EndiZentarmi: The first #LGBT unit has been created to fight #ISIS in ##Syria\n#IRPGF #TQILA #IFB #YPG #YPJ #SDF \nhttps://t.co/TCmAIFvZb\xe2\x80\xa6',29,'',,,
8,8.8998E+17,axn_mustafa,'RT @Mexlumy: Always smile and Pinky socks \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\n#YPJ #Raqqa #SDF #twitterkurds https://t.co/AyHIb8qhtn',3,'\xd9\x83\xd8\xb1\xd9\x83\xd9\x8a \xd9\x84\xd9\x83\xd9\x8a',,,
9,8.8998E+17,melodielaggaffe,'RT @vvanwilgenburg: BREAKING: SDF official denies existence of LGBT military unit within SDF forces in #Raqqa #SDF #ISIS https://t.co/rItxX\xe2\x80\xa6',31,'Leicester  England',52.6368778,-1.1397592, UK
10,8.89979E+17,Truth2Pwer,"'RT @SyriacMFS: As for 24-07, new map indicates steady progress of #SDF forces in Raqqa liberation against ISIS with the support of @coaliti\xe2\x80\xa6'",131,'Hawaii',19.8967662,-155.5827818, USA
11,8.89979E+17,Mexlumy,"'RT @raqqacampaign: Photos of #SDF from inside #Akirishi village east of #Raqqa city, after rumors circulated about handing over to the #Syr\xe2\x80\xa6'",6,'Rojava',,,
