,id,user,text,retweet_count,location,latitude,longitude,country
0,889924973195915270,xxVmCfxx,'Am i the only one who still prefers #SmackDownLIVE over #RAW ?',0,'Nazar\xc3\xa9  Portugal',39.39987199999999,-8.224454,Portugal
1,889923811113566209,haydngleed,'RT @prowrestlingnet: Has #WWE #SmackDownLIVE hit rock bottom? New @haydngleed blog: https://t.co/LPOkaFWuis',1,'Cardiff  Wales',51.48158100000001,-3.17909, UK
2,889923730595618818,wweheel2,'Who Ready For #SmackdownLive Tonight...\n\n#WWE #SmackDownLIVE https://t.co/s0OBDKguJe',0,'',,,
3,889921662128443394,LooseTrunksYT,'#SmackDownLive Is Tonight There Turn To Add Some Matches To #SummerSlam Who Will @JinderMahal Face? A New  Challeng\xe2\x80\xa6 https://t.co/G8xcGpdTA4',0,'Rainham Essex',51.517732,0.194831, UK
4,889920668799840260,Carloswwe6,'RT @MariaLKanellis: Good Morning... #REDy #smackdownlive #keepingupwithkanellises #firstlady #poweroflove #treehat\xe2\x80\xa6 https://t.co/RwRsbSmaQA',8,'Costa Rica',9.748916999999999,-83.753428,Costa Rica
5,889919462530584584,offiziell_Flous,'NewDay Car\xf0\x9f\xa6\x84\xf0\x9f\xa6\x84\xf0\x9f\xa6\x84  #SmackDownLIVE #newday\n\n@XavierWoodsPhD @TrueKofi https://t.co/DzRb0AMay2',0,'',,,
6,889919278455164929,_TimJames,"'@primetimeklein @CoversJLo @FAN960Patrick Wait, no #SmackdownLive preview?!'",0,'Vancouver / North Delta',49.171634,-122.910981, Canada
7,889919164202266629,bjcarpenter30,'Getting ready to watch my two favorites on #SmackDownLIVE @AJStylesOrg and @ShinsukeN',0,'',,,
8,889918084005466114,Cornjdw,"""RT @RealMickFoley: I have a little post up about how much I like @NaomiWWE's new #SmackDownLive #WomensChampionship title. #FeelTheGlow htt\xe2\x80\xa6""",152,'Miami fl',25.7616798,-80.1917902, USA
9,889917914912043010,oneandonlyCKJ,'RT @EWCoastConnect: Alright #wwe fans! We will have weekly #RAW vs #SmackDownLIVE articles starting this week. Give us a follow and we will\xe2\x80\xa6',1,'',,,
