,id,user,text,retweet_count,location,latitude,longitude,country
0,8.89659e+17,LaAlamedaAlerta,"'RT @LaAlamedaJal: V\xc3\xada @ProtocoloAlba ROC\xc3\x8dO LOZANO ASCENCIO, 17 a\xc3\xb1os #Guadalajara #Jalisco @LaAlamedaAlerta @FiscaliaJal https://t.co/qzoq32\xe2\x80\xa6'",4,'M\xc3\xa9xico',45.5049376,-122.6252431, USA
1,8.89659e+17,f89d90a481ef4a1,"'RT @CONAFOR: En 2017, mediante el programa de Compensaci\xc3\xb3n Ambiental, en #Jalisco tenemos como meta restaurar 3,600 hect\xc3\xa1reas forestales de\xe2\x80\xa6'",10,'',,,
2,8.89659e+17,DamianCh11,'RT @clausanez: Uno siempre querr\xc3\xa1 volver a los lugares donde am\xc3\xb3 la vida \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9c\x88\xef\xb8\x8f #SantaAnita #Jalisco',1,'',,,
3,8.89659e+17,HoyEstado,'#Video: Asaltante ejecuta a dos polic\xc3\xadas en #Jalisco. https://t.co/LoDzHRjxUu',0,'Estado de M\xc3\xa9xico',45.5049376,-122.6252431, USA
4,8.89658e+17,WikileaksGDL,'RT @hekglez: \xf0\x9f\x92\xafSolidarios desde #Jalisco con #MarchaDeLaEsperanza de @delfinagomeza de @edomex_morena detengamos al #PRIsINEscr\xc3\xbapulos\xe2\x80\xbc\xef\xb8\x8f @epi\xe2\x80\xa6',89,'Jalisco  M\xc3\xa9xico',20.6595382,-103.3494376, Mexico
5,8.89657e+17,AappAlex,"'RT @AristotelesSD: El liderazgo de #Jalisco a nivel nacional es una realidad, somos ejemplo en atenci\xc3\xb3n a las personas con discapacidad.'",114,'',,,
6,8.89657e+17,AappAlex,"'RT @AristotelesSD: #Jalisco es el primer estado en contar con una playa incluyente, adem\xc3\xa1s de promover la accesibilidad universal en las l\xc3\xad\xe2\x80\xa6'",133,'',,,
7,8.89656e+17,carlosmag10,'RT @JEliasSahab: El 18Mayo2017 inici\xc3\xb3 2a etapa del Programa #ImpulsoASectoresEstrategicos del estado de #Jalisco #Mexico c/una bolsa de 160\xe2\x80\xa6',7,'',,,
8,8.89655e+17,lalogarteaga,'#Vistas #CorporativoGA #BienesRa\xc3\xadces #Providencia #Guadalajara #Gdl #Jalisco https://t.co/93yZ5IackB',0,'Guadalajara  Jalisco',20.6596988,-103.3496092, Mexico
9,8.89655e+17,reportejalisco1,'Investigar\xc3\xa1n polic\xc3\xada de Tala https://t.co/wNkAPijJuY #seguridad #Jalisco #narcocampamentos @ealmaguerr\xe2\x80\xa6 https://t.co/sjGF3lsbg1',0,'Guadalajara  Jalisco',20.6596988,-103.3496092, Mexico
10,8.89655e+17,RicardoRSeanez,"'RT @tusEmpleos: Trabajo: Auxiliar administrativo, en #Jalisco https://t.co/lqnpVMp9Ec #empleo #trabajo #s\xc3\xadguemeytesigo'",1,'Distrito Federal  M\xc3\xa9xico',19.4326077,-99.133208, Mexico
11,8.89654e+17,natacortes_10,"'RT @GobiernoJalisco: Con las nuevas inversiones en #Jalisco, la tasa de desempleo registr\xc3\xb3 niveles hist\xc3\xb3ricamente bajos. Checa la nota: htt\xe2\x80\xa6'",12,'',,,
12,8.89654e+17,SugeiAlejandro,'RT @IIEGJ: Arranca primer diplomado en sistemas de informaci\xc3\xb3n geogr\xc3\xa1fica de @UnigisALatina en #Jalisco https://t.co/HNtVh7wNAL',15,'',,,
13,8.89654e+17,SugeiAlejandro,'RT @MIDEJalisco: \xc2\xbfSab\xc3\xadas que #MIDEJalisco monitorea 349 indicadores de desarrollo de #Jalisco? \xc2\xa1Explora el sistema y con\xc3\xb3celos! https://t.c\xe2\x80\xa6',2,'',,,
14,8.89654e+17,natacortes_10,'RT @micasrey: Segundo Encuentro Nacional de Instituciones en Materia de Discapacidad. Bienvenidos a #Jalisco @CONADIS_MX https://t.co/RCOGF\xe2\x80\xa6',4,'',,,
15,8.89653e+17,isccarrasco,'RT @IIEGJ: Arranca primer diplomado en sistemas de informaci\xc3\xb3n geogr\xc3\xa1fica de @UnigisALatina en #Jalisco https://t.co/HNtVh7wNAL',15,'M\xc3\xa9rida  Yucat\xc3\xa1n',18.806656,-89.3985283, Mexico
16,8.89653e+17,notinfomex,"'Caen 2 SICARIOS por ENFRENTAMIENTO en Las Huertas, #Michoacan https://t.co/gdPTNrlYKp #cdmx #edomex #jalisco #verfollow #xalfollow'",0,'M\xc3\xa9xico',45.5049376,-122.6252431, USA
17,8.89653e+17,Tatudemia,'Tattoo done by maracuchoink \n#tatudemia \ntatuaje en progreso #guadalajara #mexico #jalisco #rosa\xe2\x80\xa6 https://t.co/s6Op7YEbEa',0,'',,,
18,8.89653e+17,AlmaMonti2,"'RT @AristotelesSD: #Jalisco es el primer estado en contar con una playa incluyente, adem\xc3\xa1s de promover la accesibilidad universal en las l\xc3\xad\xe2\x80\xa6'",133,'',,,
19,8.89653e+17,natacortes_10,"'RT @AristotelesSD: El liderazgo de #Jalisco a nivel nacional es una realidad, somos ejemplo en atenci\xc3\xb3n a las personas con discapacidad.'",114,'',,,
